duongDan,zcrMean,specCenMean,specRolloffMean,mfcc_0_Mean,mfcc_1_Mean,mfcc_2_Mean,mfcc_3_Mean,mfcc_4_Mean,mfcc_5_Mean,mfcc_6_Mean,mfcc_7_Mean,mfcc_8_Mean,mfcc_9_Mean,mfcc_10_Mean,mfcc_11_Mean,mfcc_12_Mean,chroma_0_Mean,chroma_1_Mean,chroma_2_Mean,chroma_3_Mean,chroma_4_Mean,chroma_5_Mean,chroma_6_Mean,chroma_7_Mean,chroma_8_Mean,chroma_9_Mean,chroma_10_Mean,chroma_11_Mean
..\file-birdsong\songs\songs\xc101371.flac,0.5703624885740403,6172.901925974519,7386.341380898652,-636.15424,-19.553493,8.999573,-6.8583093,2.670615,7.493067,-13.188851,14.840856,-18.969805,19.471676,-12.047686,5.1943483,-1.4657203,0.07061943,0.0655214,0.054488823,0.048877753,0.06369569,0.10328988,0.14426215,0.22893436,0.41837063,0.7323374,0.5103537,0.116290785
..\file-birdsong\songs\songs\xc101377.flac,0.24736526726843025,2879.0297183118782,3830.443451538668,-508.97983,-4.3252053,-39.670578,3.8638685,4.8625617,1.7750933,7.497664,-1.4836172,0.7141277,-1.2691226,-7.919418,-1.2936655,5.247331,0.42696205,0.32892817,0.22557727,0.16596241,0.18108033,0.19256622,0.25968227,0.21875812,0.20843455,0.20956443,0.26686332,0.4198377
..\file-birdsong\songs\songs\xc101862.flac,0.5232723460477942,6177.519174897554,8136.764131433823,-795.5379,-143.45088,58.78977,24.008863,-57.97436,41.470863,-1.7767226,-14.371585,10.208761,12.650118,-17.43765,14.2356205,3.6255782,0.5516039,0.5331551,0.4737875,0.37375495,0.32679683,0.2930801,0.2731747,0.27211267,0.3015406,0.45991474,0.548057,0.56726706
..\file-birdsong\songs\songs\xc101932.flac,0.3676214621750302,4639.337791363301,7378.780371448005,-721.7138,-75.53075,-73.765816,15.11451,5.051668,23.512499,23.851076,-14.790277,-14.201788,-2.0147204,-1.2815464,19.843008,4.7521234,0.43638384,0.5102116,0.54129815,0.56233096,0.46367282,0.42455935,0.4084831,0.38820392,0.35590097,0.36585817,0.41405347,0.4137547
..\file-birdsong\songs\songs\xc101933.flac,0.41150235695708715,5096.981158302996,7801.655902044051,-722.9058,-117.29969,-53.90146,46.46391,24.241049,-4.424503,-11.918977,-7.384314,8.268317,16.107534,-3.5450199,-2.9208033,-4.1717234,0.52121747,0.5126448,0.48180854,0.42906076,0.34494328,0.33842763,0.39657417,0.41215122,0.46057248,0.49263555,0.47703943,0.49202394
..\file-birdsong\songs\songs\xc101934.flac,0.47141757457092637,5705.69952535981,7639.424773185484,-730.06555,-166.39117,34.16608,56.0951,-63.231686,10.17462,21.475512,-8.350937,-19.6143,24.509098,-1.772857,-9.825319,4.8909554,0.3911481,0.35792708,0.31884462,0.25560123,0.23442574,0.28261694,0.3307479,0.44205704,0.6232453,0.70246947,0.605513,0.47946587
..\file-birdsong\songs\songs\xc101935.flac,0.37825941765445403,4811.1151762510935,7038.661351697198,-665.90735,-129.64024,-55.40827,67.01553,17.218565,-8.365173,-37.342327,20.18211,18.2791,1.374107,-19.1717,3.4067302,9.236975,0.5641842,0.48622033,0.43733603,0.4007475,0.37927258,0.37175512,0.30510303,0.26482755,0.275679,0.36074334,0.51532805,0.6237535
..\file-birdsong\songs\songs\xc101936.flac,0.5540287809551887,6387.554560522858,8572.733822228774,-686.1743,-130.5388,41.15448,31.499418,-41.04893,12.174726,14.524585,-8.012701,-10.963449,21.450953,-9.950209,-1.8509967,5.3177524,0.5119791,0.6039234,0.45626873,0.36296856,0.29312384,0.22816749,0.2776408,0.3693347,0.4759681,0.56805485,0.58054954,0.50309956
..\file-birdsong\songs\songs\xc101940.flac,0.12141277374402934,2448.2852389872273,5076.898949270727,-541.0741,69.49362,-11.843022,-17.736479,-29.092562,-34.337616,-35.955368,-28.937895,-20.628479,-16.749666,-11.54812,-1.0019462,1.5657507,0.46519202,0.28400138,0.23779613,0.3040124,0.4938026,0.4866768,0.30653447,0.33766982,0.2737844,0.29197037,0.3257126,0.41900074
..\file-birdsong\songs\songs\xc101941.flac,0.05903650502689549,1812.203097689269,3931.0009565509736,-624.0946,82.46083,41.505215,24.964622,2.3414257,-8.81997,-11.815828,-16.150316,-12.647563,-10.919985,-7.600429,2.2195885,9.568345,0.5067755,0.3033509,0.2547555,0.2327273,0.24588078,0.25469568,0.28028324,0.342558,0.35288098,0.42528,0.5208089,0.6742374
