duongDan,khoangCach
..\file-birdsong\songs\songs\67466-0.wav,3.192624093203082
..\file-birdsong\songs\songs\66355-0.wav,3.3281442844308113
..\file-birdsong\songs\songs\486798-0.wav,3.392002006805597
..\file-birdsong\songs\songs\554192-0.wav,3.5924271168596866
..\file-birdsong\songs\songs\490595-0.wav,3.675022618401092
..\file-birdsong\songs\songs\563017-0.wav,3.67701565258982
..\file-birdsong\songs\songs\501839-0.wav,3.7851079414803985
..\file-birdsong\songs\songs\544559-0.wav,4.093547789990134
..\file-birdsong\songs\songs\542156-0.wav,4.096260142551352
..\file-birdsong\songs\songs\489171-0.wav,4.143595552116696
..\file-birdsong\songs\songs\54725-0.wav,4.160390981861004
..\file-birdsong\songs\songs\544036-0.wav,4.161288364812252
..\file-birdsong\songs\songs\483628-0.wav,4.185317150334195
..\file-birdsong\songs\songs\562172-0.wav,4.201369770589601
..\file-birdsong\songs\songs\470301-0.wav,4.2247692868514335
..\file-birdsong\songs\songs\501838-0.wav,4.245970606878603
..\file-birdsong\songs\songs\469351-0.wav,4.364153587155197
..\file-birdsong\songs\songs\511296-0.wav,4.417657551464994
..\file-birdsong\songs\songs\79086-0.wav,4.450905516690786
..\file-birdsong\songs\songs\79109-0.wav,4.453633443019518
..\file-birdsong\songs\songs\483978-0.wav,4.478940522207322
..\file-birdsong\songs\songs\474154-0.wav,4.515092051700503
..\file-birdsong\songs\songs\78683-0.wav,4.569748948549845
..\file-birdsong\songs\songs\77904-0.wav,4.610913154458302
..\file-birdsong\songs\songs\492783-0.wav,4.635800963581588
..\file-birdsong\songs\songs\482567-0.wav,4.694824793863547
..\file-birdsong\songs\songs\534181-0.wav,4.772149369717738
..\file-birdsong\songs\songs\474152-0.wav,4.792610453785143
..\file-birdsong\songs\songs\62782-0.wav,4.8353847365446185
..\file-birdsong\songs\songs\559314-0.wav,4.836306549623862
..\file-birdsong\songs\songs\563611-0.wav,4.8450878789629215
..\file-birdsong\songs\songs\78060-0.wav,4.876973547971236
..\file-birdsong\songs\songs\563125-0.wav,4.93231031207077
..\file-birdsong\songs\songs\489315-0.wav,4.964637317556495
..\file-birdsong\songs\songs\77133-0.wav,5.010199709411319
..\file-birdsong\songs\songs\469007-0.wav,5.058672632485331
..\file-birdsong\songs\songs\546760-0.wav,5.087940004579155
..\file-birdsong\songs\songs\470299-0.wav,5.120809673766102
..\file-birdsong\songs\songs\493957-0.wav,5.157244722238285
..\file-birdsong\songs\songs\52363-0.wav,5.1702114248624875
..\file-birdsong\songs\songs\466697-0.wav,5.175795203190574
..\file-birdsong\songs\songs\545900-0.wav,5.179376037052377
..\file-birdsong\songs\songs\489169-0.wav,5.188686109075132
..\file-birdsong\songs\songs\490932-0.wav,5.224243013485635
..\file-birdsong\songs\songs\562221-0.wav,5.23513839781972
..\file-birdsong\songs\songs\75110-0.wav,5.268904471220578
..\file-birdsong\songs\songs\544193-0.wav,5.294457417721265
..\file-birdsong\songs\songs\513350-0.wav,5.324808114251947
..\file-birdsong\songs\songs\498647-0.wav,5.360379894118623
..\file-birdsong\songs\songs\61472-0.wav,5.379325396587618
..\file-birdsong\songs\songs\474153-0.wav,5.385641825600009
..\file-birdsong\songs\songs\483881-0.wav,5.4084681507008785
..\file-birdsong\songs\songs\76471-0.wav,5.410779537321214
..\file-birdsong\songs\songs\537553-0.wav,5.424364025974153
..\file-birdsong\songs\songs\56229-0.wav,5.4757801151062635
..\file-birdsong\songs\songs\469010-0.wav,5.500835678356229
..\file-birdsong\songs\songs\54019-0.wav,5.508724199290969
..\file-birdsong\songs\songs\477371-0.wav,5.557383672242369
..\file-birdsong\songs\songs\562223-0.wav,5.608949117429119
..\file-birdsong\songs\songs\483220-0.wav,5.621398047993687
..\file-birdsong\songs\songs\530427-0.wav,5.643028073938482
..\file-birdsong\songs\songs\481117-0.wav,5.653812067521276
..\file-birdsong\songs\songs\564544-0.wav,5.659021698914511
..\file-birdsong\songs\songs\470300-0.wav,5.669001380234044
..\file-birdsong\songs\songs\563197-0.wav,5.6858130868801044
..\file-birdsong\songs\songs\564311-0.wav,5.699901353813673
..\file-birdsong\songs\songs\538843-0.wav,5.70447754594721
..\file-birdsong\songs\songs\541426-0.wav,5.7165395713833425
..\file-birdsong\songs\songs\62772-0.wav,5.748532078564329
